"ï»¿Flick Hans";"Wassermeyer Franz";"Baumhoff Hubertus";Aussensteuerrecht;"Bd. III";0;0;3-504-26041-6;;Loseblattwerk;Kommentar;"HB Steuerrecht";"KB 308 3";KÃ¶ln;"Otto Schmidt";2017;KB;0;0;"AuslÃ¤ndisches Steuerrecht";Deutschland;0;iff_doc_missing;"CSV line 1";155189379;0;0
"Baur Roman";0;0;"Die tarifpolitischen Aspekte der zwischenbetrieblichen Zusammenarbeit im öffentlichen Ballungsverkehr";0;0;0;0;233;Druckerzeugnis;"Dissertation der Hochschule St. Gallen, Nr. 534";Haupt-Bibliothek;"AJ 234";Winterthur;"Ziegler Druck- und Verlags AG";1974;YY;0;0;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;bestcase;0139085
"Bircher Thomas";0;0;"Die Finanzierung der öffentlichen Spitäler durch die öffentliche Hand";0;0;0;0;83;Druckerzeugnis;0;Separata;"BE Sep. 05";Bern;Seminararbeit;;YL7;0;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";replacefromSwissbib;0991073;083239693;0;0
"Ruffner Markus";0;0;"Die EG-Harmonisierungs- und Liberalisierungsrichtlinien";"Blaupause und Regelungsstandard für das schweizerische Telekommunikationsrecht am Beispiel der Interkonnektion";0;0;"3 7255 3887 5";409-428;Druckerzeugnis;"In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag";Haupt-Bibliothek;;Zürich;Schulthess;;WB;0;0;"Uebrige Literatur";"Oeffentliches Recht";0;replacefromSwissbib;0991080;045860793;0;0
"Iklé Max";0;0;"Die Schweiz und die internationalen monetären Institutionen";0;0;0;0;16;Druckerzeugnis;"Referat an der HSG vom 5. Oktober 1972";Separata;"FA Sep. 02";0;0;1972;YL5;YM;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";bestcase;0170622
IFSt;0;0;"IFSt-Brief 188";0;0;0;-;18;Druckerzeugnis;0;Haupt-Bibliothek;"Z 153 188";Bonn;Stollfuss;1980;Z;0;0;Zeitschriften;0;0;journal
"Schwarzenbach-Hanhart Hans Rudolf";0;0;"Berufliche Vorsorge in Text und Tafeln";0;0;0;3.7255.3244.3;224;Druckerzeugnis;"Textausgabe mit Verweisen auf andere Erlasse, Tafeln über die Zusammenhänge und ausführlichem Sachregister";Haupt-Bibliothek;"WD 223";Zürich;Schulthess;1995;WD;0;0;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";0;HSB01duplicate;0991100;0077996;0;0
"Kommission für Konjunkturfragen des Eidgenössischen Volkswirtschaftsdepartementes";0;0;"Der schweizerische Index der industriellen Produktion";0;0;0;0;24;Druckerzeugnis;0;Separata;"AE Sep. 08";Bern;"Verlag Schweizerisches Handelsblatt";1965;YJ;0;0;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";0;HSB01duplicate;0991109;0437431;0;0
"Stanford Research Institute";;0;"Costs of urban infrastructure for industry as related to city size in developing countries";0;0;0;0;435;Druckerzeugnis;"India Case Study";Haupt-Bibliothek;"AJ 169";0;0;1968;YY;0;0;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;reimportFromSwissbib;0991117;515921467;0;0
"Haverkampf Hans-Erhard";0;0;"Politische und öffentliche Teilnahme an der kommunalen Aufgaben- und Finanzplanung";"Reale Situation in der BRD und Möglichkeiten der Verbesserung";0;0;-;39-52;Druckerzeugnis;"In: Bauer-Helfried- Knöpfle-Franz (Hersausgeber)- und andere: Aufgabenplanung und Finanzplanung";Haupt-Bibliothek;;;;;YL2;0;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";leave;0991125
"Expertenkommission zur Prüfung des Einsatzes des Steuerrechts für wohnungs- und bodenpolitische Ziele";0;0;"Bericht der Expertenkommission zur Prüfung des Einsatzes des Steuerrechts für wohnungs- und bodenpolitische Ziele";0;0;0;-;173;Druckerzeugnis;"erstattet dem Eidg. Finanzdepartement";Haupt-Bibliothek;"TA 197 1";Bern;;1994;TA;0;0;"Finanz- und Steuerpolitik (Finanzreform)";Bund;0;replacefromSwissbib;0991132;298853590;0;0
"Thiemann Rolf";0;0;"Die Effizienz geldpolitischer Indikatoren Eine theoretische und empirische Analyse für die Bundesrepublik Deutschland";0;0;0;0;212;Druckerzeugnis;"Inaugural-Dissertation der Westfälischen Wilhelms-Universität zu Münster, 1977";Haupt-Bibliothek;"AK 0265";0;Offset;1977;YK;0;0;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;replacefromSwissbib;0991138;289071720;0;0
"Perret-Gentil J.-C.";"Odermatt W.";"Waas E.";"Die Rolle der Klein- und Mittelstädte bei der Verteilung der Dienstleistungsfunktionen in der Schweiz";0;0;0;0;19-;Druckerzeugnis;0;Separata;"AJ Sep. 41";0;0;1985;YY;0;0;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;leave;0991143
